park_name,category,subcategory,civic_no,street,address,city,province,country,latitude,longitude,name,desc,color,source,precision
CLOVERDALE PARK,NEIGHBOURHOOD PARK,PLAY AREA,65,BIRCHCLIFF AVE,65 BIRCHCLIFF AVE,KITCHENER,ONTARIO,CANADA,43.4254329,-80.5153897,"BIRCHCLIFF AVE, KITCHENER, ONTARIO, CANADA","Birchcliff Ave, Kitchener, ON N2M, Canada",,Bing Maps,street
DINISON PARK,NEIGHBOURHOOD PARK,OPEN SPACE/TRAIL,165,DINISON CRES,165 DINISON CRES,KITCHENER,ONTARIO,CANADA,43.4140182,-80.5057805,"DINISON CRES, KITCHENER, ONTARIO, CANADA","Dinison Crescent, Kitchener, ON N2E, Canada",,Bing Maps,street
EDMUND GREEN,GREEN (PARKETTE),PLAY AREA,55,EDMUND RD,55 EDMUND RD,KITCHENER,ONTARIO,CANADA,43.4409291,-80.4650844,"EDMUND RD, KITCHENER, ONTARIO, CANADA","Edmund Rd, Kitchener, ON N2H, Canada",,Bing Maps,street
LANDGREN TRAIL LINK,GREENWAY,OPEN SPACE/TRAIL,,LANDGREN CRT,LANDGREN CRT,KITCHENER,ONTARIO,CANADA,43.4461783,-80.4120359,"LANDGREN CRT, KITCHENER, ONTARIO, CANADA","Landgren Crt, Kitchener, ON N2A, Canada",,Bing Maps,street
THOMAS PEDDER OPEN SPACE,OPEN SPACE,OS-PLANTING STRIP/LANDSCAPE BUFFER,,NEW DUNDEE RD,NEW DUNDEE RD,KITCHENER,ONTARIO,CANADA,43.3867992,-80.4120023,"NEW DUNDEE RD, KITCHENER, ONTARIO, CANADA","New Dundee Rd, Kitchener, ON N2P, Canada",,Bing Maps,street
WILLIAMSBURG WOODS SOUTH,OPEN SPACE,OPEN SPACE/WOODLAND,,SEABROOK DR,SEABROOK DR,KITCHENER,ONTARIO,CANADA,43.3859006,-80.4969817,"SEABROOK DR, KITCHENER, ONTARIO, CANADA","Seabrook Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
CHICOPEE PARK (GRCA),OTHER,MAJOR SPORTSFIELD,395,MORRISON RD,395 MORRISON RD,KITCHENER,ONTARIO,CANADA,43.4356588,-80.4127435,"MORRISON RD, KITCHENER, ONTARIO, CANADA","Morrison Rd, Kitchener, ON N2A, Canada",,Bing Maps,street
MICHAEL DONNENWORTH PARK,NEIGHBOURHOOD PARK,OPEN SPACE/TRAIL,94,ISAIAH DR,94 ISAIAH DR,KITCHENER,ONTARIO,CANADA,43.3995175,-80.5221823,"ISAIAH DR, KITCHENER, ONTARIO, CANADA","Isaiah Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
SHUPE GREEN,GREEN (PARKETTE),PASSIVE AREA,,OTTAWA ST N & WEBER ST E,OTTAWA ST N & WEBER ST E,KITCHENER,ONTARIO,CANADA,43.444057,-80.4672757,"OTTAWA ST N & WEBER ST E, KITCHENER, ONTARIO, CANADA","Ottawa St N & Weber St E, Kitchener, ON N2H, Canada",,Bing Maps,intersection
CEDARHILL PARK,NEIGHBOURHOOD PARK,OPEN SPACE,110,CEDARHILL CRES,110 CEDARHILL CRES,KITCHENER,ONTARIO,CANADA,43.4453139,-80.4852422,"CEDARHILL CRES, KITCHENER, ONTARIO, CANADA","Cedar St S, Kitchener, ON N2G, Canada",,Bing Maps,street
ROBERT FERRIE DR - SWP,OPEN SPACE,OPEN SPACE/SWM,540,ROBERT FERRIE DR,540 ROBERT FERRIE DR,KITCHENER,ONTARIO,CANADA,43.3782108,-80.4498606,"ROBERT FERRIE DR, KITCHENER, ONTARIO, CANADA","Robert Ferrie Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
GRAND RIVER NATURAL AREA - STANLEY PARK OPTIMIST,NATURAL AREA,OPEN SPACE/TRAIL,2500,VICTORIA ST N,2500 VICTORIA ST N,KITCHENER,ONTARIO,CANADA,43.4591372,-80.4807615,"VICTORIA ST N, KITCHENER, ONTARIO, CANADA","Victoria St N, Kitchener, ON N2H, Canada",,Bing Maps,street
MEINZINGER PARK NATURAL AREA (MTO),NEIGHBOURHOOD PARK,OPEN SPACE,,AVALON PL,AVALON PL,KITCHENER,ONTARIO,CANADA,43.4252182,-80.4973605,"AVALON PL, KITCHENER, ONTARIO, CANADA","Avalon Pl, Kitchener, ON N2M, Canada",,Bing Maps,street
LIONS PARK,DISTRICT PARK,MAJOR SPORTSFIELD,20,RITTENHOUSE RD,20 RITTENHOUSE RD,KITCHENER,ONTARIO,CANADA,43.4099445,-80.4831502,"RITTENHOUSE RD, KITCHENER, ONTARIO, CANADA","Rittenhouse Rd, Kitchener, ON N2E, Canada",,Bing Maps,street
SPRINGWOOD PARK,NATURAL AREA,OPEN SPACE,,WELLINGTON ST N,WELLINGTON ST N,KITCHENER,ONTARIO,CANADA,43.4547994,-80.5018131,"WELLINGTON ST N, KITCHENER, ONTARIO, CANADA","Wellington St N, Kitchener, ON N2H, Canada",,Bing Maps,street
FOREST CREEK DR (RIVER VALLEY) - SWP,OPEN SPACE,OPEN SPACE/SWM,,FOREST CREEK DR,FOREST CREEK DR,KITCHENER,ONTARIO,CANADA,43.3795521,-80.4415356,"FOREST CREEK DR, KITCHENER, ONTARIO, CANADA","Forest Creek Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
ROSEMOUNT PARK,GREEN (PARKETTE),PASSIVE AREA,49,AVON RD,49 AVON RD,KITCHENER,ONTARIO,CANADA,43.4628995,-80.4563769,"AVON RD, KITCHENER, ONTARIO, CANADA","Avon Rd, Kitchener, ON N2B, Canada",,Bing Maps,street
PIONEER GROVE PARKETTE,NEIGHBOURHOOD PARK,PLAY AREA,921,PIONEER GROVE CRT,921 PIONEER GROVE CRT,KITCHENER,ONTARIO,CANADA,43.4068696,-80.3979097,"PIONEER GROVE CRT, KITCHENER, ONTARIO, CANADA","Pioneer Grove Crt, Kitchener, ON N2P, Canada",,Bing Maps,street
THISTLE DOWN GREEN - SWP,OPEN SPACE,OPEN SPACE/SWM,90,ERINBROOK DR,90 ERINBROOK DR,KITCHENER,ONTARIO,CANADA,43.411495,-80.491005,"ERINBROOK DR, KITCHENER, ONTARIO, CANADA","Erinbrook Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
OKTOBERFEST PLATZ,GREEN (URBAN PLAZA),PASSIVE AREA,19,BENTON ST,19 BENTON ST,KITCHENER,ONTARIO,CANADA,43.4490476,-80.4877527,"BENTON ST, KITCHENER, ONTARIO, CANADA","Benton St, Kitchener, ON N2G, Canada",,Bing Maps,street
BRIDGEPORT SPORTSFIELD (GRCA),DISTRICT PARK,MAJOR SPORTSFIELD,70,BRIDGE ST E,70 BRIDGE ST E,KITCHENER,ONTARIO,CANADA,43.4799936,-80.4768583,"BRIDGE ST E, KITCHENER, ONTARIO, CANADA","Bridge St E, Kitchener, ON N2K, Canada",,Bing Maps,street
ARROWHEAD PARK,NEIGHBOURHOOD PARK,PLAY AREA,116,ARROWHEAD CRES,116 ARROWHEAD CRES,KITCHENER,ONTARIO,CANADA,43.3939671,-80.427383,"ARROWHEAD CRES, KITCHENER, ONTARIO, CANADA","Arrowhead Crescent, Kitchener, ON N2P, Canada",,Bing Maps,street
WATERFORD COURT NATURAL AREA,NATURAL AREA,OPEN SPACE/TRAIL,30,PINE VALLEY DR,30 PINE VALLEY DR,KITCHENER,ONTARIO,CANADA,43.3855205,-80.4321548,"PINE VALLEY DR, KITCHENER, ONTARIO, CANADA","Pine Valley Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
WOODSIDE NATIONAL HISTORIC PARK (FEDERAL),OTHER,HISTORIC SITE,570,WELLINGTON ST N,570 WELLINGTON ST N,KITCHENER,ONTARIO,CANADA,43.4547994,-80.5018131,"WELLINGTON ST N, KITCHENER, ONTARIO, CANADA","Wellington St N, Kitchener, ON N2H, Canada",,Bing Maps,street
CROSBY PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,60,CROSBY DR,60 CROSBY DR,KITCHENER,ONTARIO,CANADA,43.4513938,-80.4469633,"CROSBY DR, KITCHENER, ONTARIO, CANADA","Crosby Dr, Kitchener, ON N2B, Canada",,Bing Maps,street
HEARTHWOOD - SWP,OPEN SPACE,OPEN SPACE/SWM,372,HEARTHWOOD DR,372 HEARTHWOOD DR,KITCHENER,ONTARIO,CANADA,43.3816282,-80.4543802,"HEARTHWOOD DR, KITCHENER, ONTARIO, CANADA","Hearthwood Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
COMMONWEALTH PARK,NEIGHBOURHOOD PARK,PLAY AREA,560,COMMONWEALTH CRES,560 COMMONWEALTH CRES,KITCHENER,ONTARIO,CANADA,43.4032755,-80.5042335,"COMMONWEALTH CRES, KITCHENER, ONTARIO, CANADA","Commonwealth Crescent, Kitchener, ON N2E, Canada",,Bing Maps,street
DUKE PARK,NEIGHBOURHOOD PARK,PLAY AREA,455,DUKE ST W,455 DUKE ST W,KITCHENER,ONTARIO,CANADA,43.4567444,-80.4973875,"DUKE ST W, KITCHENER, ONTARIO, CANADA","Duke St W, Kitchener, ON N2H, Canada",,Bing Maps,street
COLTON - SWP,OPEN SPACE,OPEN SPACE/SWM,104,COLTON CIR,104 COLTON CIR,KITCHENER,ONTARIO,CANADA,43.449533,-80.4091836,"COLTON CIR, KITCHENER, ONTARIO, CANADA","Colton Circle, Kitchener, ON N2A, Canada",,Bing Maps,street
DETWEILER PARK NATURAL AREA,NEIGHBOURHOOD PARK,OPEN SPACE/WOODLAND,465,WESTFOREST TRAIL,465 WESTFOREST TRAIL,KITCHENER,ONTARIO,CANADA,43.4312449,-80.544348,"WESTFOREST TRAIL, KITCHENER, ONTARIO, CANADA","Westforest Trail, Kitchener, ON N2N, Canada",,Bing Maps,street
