park_name,description,latitude,longitude,park_operating
Abitibi-De-Troyes ,No Main Entrance - general location of park,48.7873164,-80.05762531,FALSE
Adam Creek ,No Main Entrance - general location of park,50.23780428,-82.10114966,FALSE
Agassiz Peatlands ,No Main Entrance - general location of park,48.8475,-94.48529,FALSE
Albany River ,No Main Entrance - general location of park,51.34564427,-88.33908855,FALSE
Albert Lake Mesa ,No Main Entrance - general location of park,49.09308778,-88.97849814,FALSE
Alexander Lake Forest ,No Main Entrance - general location of park,46.46104194,-78.91922938,FALSE
Alexander Stewart ,No Main Entrance - general location of park,45.43019865,-76.49865669,FALSE
Algoma Headwaters ,No Main Entrance - general location of park,47.22728714,-83.62817938,FALSE
Amable du Fond River ,No Main Entrance - general location of park,46.21065622,-78.92656557,FALSE
Arrowhead Peninsula ,No Main Entrance - general location of park,48.26629,-90.62881,FALSE
Aubinadong River ,No Main Entrance - general location of park,47.03478659,-83.34579031,FALSE
Aubinadong-Nushatogaini Rivers ,No Main Entrance - general location of park,47.06439786,-83.49944462,FALSE
Aubrey Falls ,No Main Entrance - general location of park,46.94413429,-83.17877705,FALSE
Barron River ,No Main Entrance - general location of park,45.866423,-77.472539,FALSE
Batchawana River ,No Main Entrance - general location of park,47.09136645,-84.39150762,FALSE
Bayview Escarpment ,No Main Entrance - general location of park,44.63292586,-80.70842606,FALSE
Beattie Pinery ,No Main Entrance - general location of park,44.12392123,-79.85934419,FALSE
Beekahncheekahmeeng Deebahncheekayweehn Eenahohnahnuhn ,No Main Entrance - general location of park,51.767,-93.673,FALSE
Bell Bay ,No Main Entrance - general location of park,45.49804276,-77.86096189,FALSE
Big East River ,No Main Entrance - general location of park,45.47887843,-79.03044277,FALSE
Bigwind Lake ,No Main Entrance - general location of park,45.07251385,-79.02749435,FALSE
Bissett Creek ,No Main Entrance - general location of park,46.176044,-78.194433,FALSE
Black Creek ,No Main Entrance - general location of park,44.9728684,-81.36279597,FALSE
Black Sturgeon River ,No Main Entrance - general location of park,49.3195743,-88.8454462,FALSE
Blind River ,No Main Entrance - general location of park,46.50327045,-82.91052376,FALSE
Blue Jay Creek ,No Main Entrance - general location of park,45.59479852,-82.07839237,FALSE
Bonheur River Kame ,No Main Entrance - general location of park,49.40078409,-91.23176674,FALSE
Bonnechere River ,No Main Entrance - general location of park,45.67719944,-77.67892706,FALSE
Boyne Valley ,No Main Entrance - general location of park,44.10816838,-80.12751137,FALSE
Brightsand River ,No Main Entrance - general location of park,49.95447904,-90.26119892,FALSE
Burnt Lands ,No Main Entrance - general location of park,45.26261593,-76.16132843,FALSE
Butler Lake ,No Main Entrance - general location of park,49.69655842,-92.719148,FALSE
Cabot Head ,No Main Entrance - general location of park,45.21020515,-81.42769874,FALSE
Carden Alvar ,No Main Entrance - general location of park,44.630863,-79.054884,FALSE
Carson Lake ,No Main Entrance - general location of park,45.502341,-77.746923,FALSE
Castle Creek ,No Main Entrance - general location of park,48.19709233,-90.06211988,FALSE
Cavern Lake ,No Main Entrance - general location of park,48.83946829,-88.68362485,FALSE
Cedar Creek ,No Main Entrance - general location of park,42.04,-82.83,FALSE
Centennial Lake ,No Main Entrance - general location of park,45.23724267,-76.99323201,FALSE
Chapleau-Nemegosenda River ,No Main Entrance - general location of park,48.25721974,-83.03345563,FALSE
Chiniguchi Waterway ,No Main Entrance - general location of park,46.752444,-80.448738,FALSE
Clear Creek Forest ,No Main Entrance - general location of park,42.4734897,-81.72630787,FALSE
Coral Rapids ,No Main Entrance - general location of park,50.27024405,-81.64231396,FALSE
Craig's Pit ,No Main Entrance - general location of park,48.6875607,-86.3421523,FALSE
Cranberry Lake ,No Main Entrance - general location of park,48.85759,-94.35126,FALSE
Daisy Lake Uplands ,No Main Entrance - general location of park,46.46,-80.88,FALSE
Dana-Jowsey Lakes ,No Main Entrance - general location of park,48.33830344,-81.81038093,FALSE
Devil's Glen ,No Main Entrance - general location of park,44.35659846,-80.21725061,FALSE
Devon Road Mesa ,No Main Entrance - general location of park,48.04925236,-89.66919538,FALSE
Divide Ridge ,No Main Entrance - general location of park,48.26328797,-89.977431,FALSE
Dividing Lake ,No Main Entrance - general location of park,45.39922964,-78.6077753,FALSE
DuPont ,No Main Entrance - general location of park,44.923037,-75.153565,FALSE
Duclos Point ,No Main Entrance - general location of park,44.33288586,-79.23902294,FALSE
Duncan Escarpment ,No Main Entrance - general location of park,44.41721843,-80.46596941,FALSE
Eagle-Dogtooth ,No Main Entrance - general location of park,49.69663123,-94.0531143,FALSE
East English River ,No Main Entrance - general location of park,49.76995533,-91.51270757,FALSE
East Sister Island ,No Main Entrance - general location of park,41.81294571,-82.85631058,FALSE
Edward Island ,No Main Entrance - general location of park,48.38375091,-88.64045354,FALSE
Egan Chutes ,No Main Entrance - general location of park,45.08035377,-77.7403316,FALSE
Englehart River Fine Sand Plain and Waterway ,No Main Entrance - general location of park,47.90605675,-80.25131044,FALSE
Fawn River ,No Main Entrance - general location of park,53.84330018,-90.09384543,FALSE
Fish Point ,No Main Entrance - general location of park,41.73523114,-82.67236735,FALSE
Five Mile Lake ,No Main Entrance - general location of park,47.57236663,-83.2296166,FALSE
Foy Property ,No Main Entrance - general location of park,45.651717,-77.505585,FALSE
Fraleigh Lake ,No Main Entrance - general location of park,48.19917446,-89.85277354,FALSE
Frederick House Lake ,No Main Entrance - general location of park,48.68140884,-80.96415759,FALSE
Gem Lake Maple Bedrock ,No Main Entrance - general location of park,48.16333915,-79.66641762,FALSE
Gibson River ,No Main Entrance - general location of park,44.93387693,-79.69370005,FALSE
Goose Island ,No Main Entrance - general location of park,48.66663,-93.16652,FALSE
Goulais River ,No Main Entrance - general location of park,46.94472357,-83.91326399,FALSE
Grant's Creek ,No Main Entrance - general location of park,46.187012,-77.957816,FALSE
Grassy River-Mond Lake Lowlands and Ferris Lake Uplands ,No Main Entrance - general location of park,47.81822203,-81.15811054,FALSE
Gravel River ,No Main Entrance - general location of park,48.91943496,-87.75545951,FALSE
Greenwater ,No Main Entrance - general location of park,49.178434,-81.272193,FALSE
Groundhog River Waterway ,No Main Entrance - general location of park,48.321077,-82.115442,FALSE
